failure,smart_1_raw,smart_5_raw,smart_9_raw,smart_194_raw,smart_197_raw
0,0,0,3689,25,0
0,189995680,0,9508,25,0
1,0,0,15028,28,0
1,0,0,245,30,0
0,0,0,18953,25,0
0,0,0,9025,24,0
0,1,0,21460,29,0
1,0,0,15028,30,0
0,119057432,0,5018,24,0
0,72679838,1001,29726,25,0
1,45841488,0,5018,27,0
0,119386439,687,27895,19,0
0,0,1,21055,30,0
1,0,0,15028,30,0
1,0,0,15026,29,0
1,0,0,15026,26,0
0,65537,0,21513,28,0
1,0,0,22979,27,0
0,65536,0,21506,34,0
0,1,0,18794,23,0
0,0,0,15026,22,0
0,0,0,15026,24,0
0,78656928,0,7652,20,0
1,0,0,19414,28,0
1,0,0,18836,25,0
0,24865290,0,29726,29,0
0,0,0,15026,29,0
0,0,0,15026,25,0
0,0,0,22138,28,0
0,0,3,19875,26,0
1,0,0,16991,26,0
1,0,0,19262,34,0
1,196608,0,22154,24,0
0,0,0,15026,27,0
1,0,0,1702,26,0
0,209422468,171,16143,18,0
1,0,0,10421,29,0
1,0,0,15026,22,0
0,82299037,644,1518,24,0
0,1,0,19206,28,0
1,0,0,17394,25,0
0,94100704,398,28447,28,0
1,9,0,34987,27,0
1,0,0,939,27,0
0,0,0,7741,28,1042
0,2,0,34958,27,0
1,0,0,15026,30,0
0,184334840,10,25997,17,0
0,0,0,1735,27,0
0,0,0,15026,27,0
1,0,0,17250,32,0
1,0,0,15026,27,0
0,0,0,15026,27,0
0,117711408,0,9537,32,0
1,0,0,17187,29,0
1,0,0,15026,29,0
0,218271568,0,7661,27,0
0,179216316,0,12046,27,0
0,159167344,0,8528,25,8
1,204673552,0,24206,22,0
0,0,0,18953,25,0
0,0,0,15026,28,0
1,0,0,15026,30,0
1,0,0,15026,30,0
0,0,0,17781,26,0
0,0,0,14184,33,0
1,65536,0,19833,26,0
1,0,0,15026,25,0
1,97606960,0,9755,26,0
0,0,0,18506,25,0
0,152355512,0,8524,29,0
0,132828739,0,29326,20,0
0,0,0,15026,21,0
1,0,0,22028,25,0
0,0,0,17875,28,0
1,208819896,0,7633,24,0
1,0,0,15026,26,0
1,86242790,0,30919,29,0
0,98826952,0,2475,26,0
1,137098170,43,27160,27,0
0,0,0,18720,25,0
1,1,0,15026,28,0
1,0,0,18794,21,0
0,0,0,15026,29,0
0,0,0,18115,26,0
1,223329528,0,31340,21,0
0,0,0,15026,25,0
0,0,0,15026,26,0
0,0,0,18835,28,0
1,0,0,15026,26,0
1,0,0,15026,25,0
1,0,0,10369,30,0
1,0,0,1684,24,0
1,223671003,0,28139,22,0
0,26282992,0,7170,24,0
1,0,0,15025,28,0
0,155570533,0,31334,23,0
1,0,0,15025,24,0
0,131073,0,15025,25,0
0,0,0,9646,25,0
1,0,1,21461,26,0
0,0,0,15025,24,0
1,0,0,18392,30,0
1,1057920,0,7661,26,0
0,0,9,17806,24,0
0,0,0,11309,27,0
0,10115824,0,6713,21,0
1,0,0,15025,30,0
0,68531280,0,6540,20,0
1,152387048,0,5034,25,0
1,0,0,19206,32,0
0,0,0,16995,30,0
1,0,0,15025,23,0
1,48752072,0,7653,27,0
0,0,0,15025,21,0
0,165556104,0,5128,26,0
1,0,0,17929,28,0
1,0,0,21456,29,0
1,0,0,1761,27,0
0,0,0,2044,30,0
0,0,0,15025,29,0
1,0,0,35305,26,0
0,234710829,0,1446,28,0
1,83671488,0,6713,28,0
0,0,0,3689,24,0
0,0,0,939,29,0
1,67234008,0,6910,23,0
1,0,0,18002,30,0
1,243246197,0,25997,25,0
1,188632192,0,6472,28,0
1,0,0,15025,30,0
0,140676712,0,7652,26,0
1,0,0,19875,24,0
1,0,0,18924,29,0
0,0,0,15025,29,0
1,171300528,0,31342,23,0
0,13850646,27,14608,18,0
0,70634070,368,27204,24,0
0,211044123,16,27161,30,0
0,0,0,18509,27,0
0,0,0,15773,29,0
1,207888488,0,6472,24,0
1,0,0,17806,25,0
0,65538,0,15025,21,0
0,0,0,15025,28,0
0,0,0,11098,25,0
1,0,0,15025,24,0
1,0,0,1741,24,0
0,0,0,15025,21,0
0,111656280,0,4018,25,0
0,163971715,0,30923,27,0
0,0,0,1735,27,0
1,99327800,0,9285,24,16
1,79,0,35771,31,0
1,0,0,15025,21,0
0,0,0,23105,25,0
0,0,0,17873,26,0
1,0,0,15025,29,0
0,67773627,1578,12372,30,0
0,0,0,15025,26,0
0,0,0,17394,27,0
0,0,0,15025,29,0
1,0,0,17929,28,0
1,0,0,15025,29,0
0,0,0,15025,28,0
1,178960354,21,27163,32,0
1,0,0,21456,28,0
0,0,0,1684,27,0
0,0,0,15025,29,0
0,206595433,0,18062,29,0
1,0,0,11310,26,0
0,0,0,17402,30,0
0,0,0,870,29,0
1,131077,14,17806,26,0
1,0,0,11300,28,0
1,5,0,35539,34,0
1,0,0,15025,24,0
1,0,0,15025,21,0
1,0,0,18012,26,0
1,65536,0,23205,31,0
0,10,0,11282,29,5
1,0,0,15025,22,0
1,0,0,15025,24,0
0,0,0,914,28,0
0,0,0,16710,28,0
1,0,0,15025,24,0
0,180701600,0,9516,20,0
1,0,0,18754,24,0
0,0,0,17783,22,0
0,189634714,0,21017,19,0
0,0,0,15025,21,0
1,210851768,0,9644,23,0
1,49850436,44,25926,26,0
1,21565328,0,8527,24,0
0,0,0,17875,27,0
0,0,0,17308,33,0
1,0,0,18759,22,0
1,0,0,11658,28,0
0,0,0,20785,28,0
0,3,0,7496,33,0
1,0,0,15025,28,0
0,0,86,18286,29,0
0,0,0,23143,30,0
1,212630088,0,6639,21,0
1,0,0,941,30,0
0,0,0,15749,27,0
1,0,0,15025,21,0
1,34822865,0,12907,27,0
1,0,0,15025,22,0
0,0,0,15025,29,0
1,0,0,15025,24,0
0,0,0,15025,28,0
0,0,0,15025,29,0
0,0,0,15025,22,0
1,0,0,17614,23,0
1,151529432,0,8110,25,0
1,0,0,17873,22,0
1,0,0,15025,24,0
1,0,3,28108,25,0
1,0,0,15025,30,0
1,156252066,0,31241,21,0
1,0,0,11310,26,0
0,26234259,0,28483,26,0
0,36951513,97,33787,23,0
1,0,0,15025,26,0
1,167666376,0,9914,26,0
0,0,0,1756,25,0
0,152935478,0,7306,22,0
0,131072,0,18405,32,0
0,0,0,20296,27,0
0,188635901,0,23157,22,0
1,102571424,0,6046,30,0
0,9,0,33408,22,0
1,0,0,34877,30,0
0,0,0,16994,27,0
1,21069260,0,30349,20,0
1,0,0,15025,24,0
1,0,0,15025,23,0
0,58391276,0,30923,24,0
0,0,0,18835,28,0
0,0,0,245,29,0
1,0,0,33433,22,0
0,0,0,18787,29,0
1,10,0,35775,26,0
1,1,0,16995,34,0
0,37716377,0,11337,21,0
0,63145848,0,8110,20,0
0,0,0,21058,23,0
1,0,0,19833,29,0
1,139776128,0,2435,28,0
1,0,0,15025,24,0
0,0,0,1702,27,0
1,25276880,0,5034,20,0
0,0,0,15025,24,0
1,0,0,18835,27,0
0,209560456,0,2479,30,0
0,0,0,15822,29,0
0,0,0,15059,26,0
0,3833880,0,9024,23,0
1,196610,0,15025,25,0
1,0,0,21131,32,0
0,21,0,11271,27,7
1,168668951,0,28609,22,0
1,5,0,35784,30,0
1,0,0,15025,24,0
1,21548750,423,32952,29,0
1,0,0,19826,27,0
0,0,0,18405,36,0
1,0,0,941,29,0
1,0,0,12067,26,0
1,135690984,0,5930,22,0
1,167867361,0,12046,27,0
1,65538,0,15025,25,0
1,51227851,0,26926,20,0
0,158354592,0,6608,23,0
1,0,0,15025,22,0
0,233319509,3,27160,28,0
1,0,0,2906,30,0
1,0,0,36248,27,0
0,0,0,17402,30,0
1,65536,0,18758,26,0
0,185386197,0,2116,29,0
1,240693352,0,2279,25,0
0,62644144,0,5127,22,0
0,131072,0,18506,25,0
0,0,0,15025,28,0
0,0,0,11928,22,1
1,0,0,15025,29,0
1,87894680,0,5980,21,0
0,57428598,0,24853,26,0
0,0,2,17614,24,0
0,122814923,0,4551,26,0
0,0,0,18287,27,0
1,0,0,19263,29,0
1,181204877,0,1446,26,0
1,0,0,18787,24,0
0,0,0,15025,25,0
0,0,39,17985,29,1
1,139479288,0,6713,22,0
1,131072,0,17614,25,0
1,180373002,0,31334,23,0
0,0,0,20303,29,0
0,409772,0,2866,18,0
1,0,0,11660,29,0
1,65536,0,15025,26,0
1,135203336,0,9776,27,0
1,219474432,0,10493,25,0
0,74226104,0,9482,27,0
0,0,0,18115,30,0
1,2,0,35735,30,0
1,2097170,0,15025,21,0
0,0,1,17421,33,0
1,0,0,941,30,0
0,65536,19,21453,24,0
0,0,0,15025,25,0
1,0,0,18405,35,0
0,0,0,942,27,0
0,65537,0,24207,26,0
